is_squeezed,energy_level,momentum,fired,Signal,timestamp,ticker,name
True,1,-0.9449996948242186,False,賣出 (動能轉弱),2026-03-20 00:00:00,CSCO,Cisco
True,1,-3.7616653442382812,False,賣出 (動能轉弱),2026-03-20 00:00:00,DVA,DaVita
True,1,0.4649810791015625,False,觀望 (動能減弱),2026-03-20 00:00:00,EXE,Expand Energy
True,1,0.03875923156738281,False,觀望 (動能減弱),2026-03-20 00:00:00,HPQ,HP Inc.
True,1,-0.2433338165283203,False,賣出 (動能轉弱),2026-03-20 00:00:00,INTC,Intel
True,1,-0.33148193359375,False,賣出 (動能轉弱),2026-03-20 00:00:00,KIM,Kimco Realty
True,1,-0.4399998982747396,False,觀察 (跌勢收斂),2026-03-20 00:00:00,MTCH,Match Group
True,1,0.006666501363118506,False,買入 (動能增強),2026-03-20 00:00:00,PFE,Pfizer
True,1,2.013346354166667,False,觀望 (動能減弱),2026-03-20 00:00:00,PWR,Quanta Services
True,1,5.501759847005207,False,觀望 (動能減弱),2026-03-20 00:00:00,TPL,Texas Pacific Land Corporation
True,0,-1.1526629130045571,False,賣出 (動能轉弱),2026-03-20 00:00:00,AEE,Ameren
False,0,-1.7300033569335938,True,強烈賣出 (跌破),2026-03-20 00:00:00,AEP,American Electric Power
True,0,-11.954991658528645,False,觀察 (跌勢收斂),2026-03-20 00:00:00,ALNY,Alnylam Pharmaceuticals
True,0,-2.341664632161458,False,觀察 (跌勢收斂),2026-03-20 00:00:00,AMD,Advanced Micro Devices
True,0,-0.6483357747395834,False,賣出 (動能轉弱),2026-03-20 00:00:00,AMZN,Amazon
True,0,3.361670176188151,False,觀望 (動能減弱),2026-03-20 00:00:00,ANET,Arista Networks
False,0,-6.028330485026041,True,強烈賣出 (跌破),2026-03-20 00:00:00,AMT,American Tower
True,0,0.28333282470703125,False,觀望 (動能減弱),2026-03-20 00:00:00,ATO,Atmos Energy
True,0,-6.68500010172526,False,賣出 (動能轉弱),2026-03-20 00:00:00,ACN,Accenture
True,0,-1.5133310953776042,False,賣出 (動能轉弱),2026-03-20 00:00:00,AVGO,Broadcom
True,0,2.4083302815755205,False,觀望 (動能減弱),2026-03-20 00:00:00,AWK,American Water Works
True,0,-0.6883335113525391,False,賣出 (動能轉弱),2026-03-20 00:00:00,BBY,Best Buy
True,0,-4.109998067220052,False,賣出 (動能轉弱),2026-03-20 00:00:00,BK,BNY Mellon
True,0,-4.243334452311197,False,觀察 (跌勢收斂),2026-03-20 00:00:00,C,Citigroup
True,0,-4.433333079020182,False,觀察 (跌勢收斂),2026-03-20 00:00:00,BX,Blackstone Inc.
